|||Sütunlar||||||||||||
||2016|82.0|93.0|89.0|81.0|70.0|63.0|59.0|65.0|74.0|81.0|85.0|85.0|
||2017|95.0|96.0|100.0|86.0|78.0|60.0|60.0|61.0|62.0|55.0|45.0|55.0|
||2018|69.0|80.0|86.0|87.0|89.0|73.0|54.0|48.0|50.0|65.0|75.0|88.0|
||2019|105.0|128.0|148.0|153.0|126.0|110.0|93.0|101.0|93.0|89.0|97.0|103.0|
||2020|109.0|113.0|108.0|103.0|105.0|113.0|113.0|109.0|110.0|131.0|121.0||
|3. (15-64) ve 22. (İlkokul) ve 14. (9-11 Ay)|2014|14.0|12.0|19.0|20.0|26.0|19.0|22.0|20.0|22.0|19.0|16.0|18.0|
||2015|17.0|24.0|25.0|38.0|38.0|33.0|19.0|12.0|14.0|18.0|20.0|19.0|
||2016|20.0|23.0|27.0|33.0|30.0|28.0|21.0|22.0|23.0|28.0|29.0|29.0|
||2017|22.0|24.0|26.0|30.0|33.0|32.0|28.0|21.0|15.0|17.0|20.0|26.0|
||2018|29.0|30.0|26.0|27.0|29.0|32.0|32.0|30.0|29.0|22.0|20.0|19.0|
||2019|23.0|30.0|34.0|37.0|34.0|35.0|42.0|48.0|46.0|42.0|45.0|38.0|
||2020|37.0|32.0|37.0|40.0|41.0|43.0|42.0|36.0|38.0|37.0|47.0||
|3. (15-64) ve 22. (İlkokul) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|94.0|98.0|103.0|101.0|100.0|94.0|84.0|89.0|90.0|90.0|88.0|92.0|
||2015|95.0|101.0|111.0|114.0|96.0|94.0|91.0|105.0|101.0|113.0|126.0|129.0|
||2016|123.0|103.0|103.0|109.0|111.0|101.0|89.0|85.0|96.0|109.0|115.0|118.0|
||2017|126.0|135.0|131.0|112.0|107.0|98.0|99.0|86.0|94.0|94.0|96.0|98.0|
||2018|101.0|103.0|97.0|99.0|104.0|101.0|108.0|101.0|116.0|116.0|120.0|107.0|
||2019|105.0|121.0|123.0|120.0|100.0|107.0|116.0|132.0|138.0|151.0|158.0|177.0|
||2020|166.0|148.0|109.0|95.0|95.0|116.0|114.0|106.0|104.0|104.0|105.0||
|3. (15-64) ve 22. (İlkokul) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|34.0|33.0|27.0|37.0|39.0|35.0|27.0|24.0|27.0|27.0|31.0|31.0|
||2015|29.0|24.0|19.0|22.0|31.0|31.0|32.0|30.0|32.0|31.0|32.0|31.0|
||2016|35.0|28.0|26.0|19.0|20.0|22.0|22.0|23.0|23.0|28.0|27.0|29.0|
||2017|32.0|30.0|29.0|23.0|23.0|23.0|22.0|25.0|31.0|34.0|37.0|37.0|
||2018|31.0|28.0|25.0|26.0|23.0|20.0|24.0|27.0|29.0|40.0|36.0|40.0|
||2019|35.0|39.0|38.0|36.0|43.0|36.0|39.0|41.0|54.0|55.0|44.0|38.0|
||2020|31.0|31.0|25.0|17.0|19.0|21.0|31.0|34.0|38.0|37.0|42.0||
|3. (15-64) ve 22. (İlkokul) ve 23. (3 Yıl Ve Daha Fazla)|2014|11.0|12.0|15.0|13.0|11.0|8.0|9.0|10.0|8.0|8.0|12.0|12.0|
||2015|14.0|12.0|15.0|15.0|18.0|13.0|9.0|12.0|14.0|17.0|14.0|13.0|
||2016|13.0|9.0|8.0|7.0|14.0|15.0|17.0|17.0|22.0|26.0|24.0|22.0|
||2017|18.0|18.0|16.0|12.0|11.0|10.0|13.0|12.0|15.0|14.0|22.0|22.0|
||2018|25.0|19.0|20.0|20.0|22.0|21.0|21.0|24.0|23.0|23.0|18.0|16.0|
||2019|13.0|14.0|17.0|24.0|32.0|34.0|36.0|28.0|31.0|24.0|26.0|18.0|
||2020|27.0|23.0|23.0|12.0|14.0|14.0|14.0|18.0|23.0|30.0|30.0||
|3. (15-64) ve 23. (İlköğretim) ve 11. (1-2 Ay)|2014|209.0|206.0|209.0|191.0|197.0|212.0|250.0|247.0|255.0|242.0|242.0|261.0|
||2015|247.0|226.0|187.0|182.0|224.0|245.0|263.0|229.0|223.0|234.0|243.0|251.0|
||2016|242.0|214.0|190.0|173.0|191.0|221.0|218.0|218.0|201.0|207.0|226.0|244.0|
||2017|250.0|228.0|180.0|158.0|162.0|184.0|187.0|185.0|167.0|194.0|196.0|203.0|
||2018|182.0|177.0|167.0|145.0|149.0|162.0|195.0|199.0|210.0|199.0|244.0|248.0|
||2019|260.0|200.0|185.0|158.0|175.0|167.0|207.0|196.0|203.0|190.0|190.0|191.0|
||2020|185.0|180.0|198.0|184.0|179.0|141.0|126.0|116.0|123.0|132.0|153.0||
|3. (15-64) ve 23. (İlköğretim) ve 12. (3-5 Ay)|2014|123.0|117.0|112.0|97.0|107.0|99.0|91.0|81.0|95.0|107.0|121.0|124.0|
||2015|147.0|154.0|145.0|119.0|95.0|87.0|78.0|91.0|95.0|109.0|106.0|113.0|
||2016|121.0|126.0|111.0|84.0|75.0|67.0|81.0|88.0|99.0|109.0|111.0|149.0|
||2017|153.0|165.0|124.0|96.0|69.0|73.0|79.0|82.0|88.0|80.0|72.0|70.0|
||2018|94.0|110.0|98.0|88.0|72.0|72.0|58.0|71.0|89.0|120.0|115.0|111.0|
||2019|136.0|172.0|180.0|147.0|118.0|113.0|105.0|97.0|96.0|107.0|122.0|121.0|
||2020|123.0|111.0|108.0|105.0|106.0|125.0|129.0|121.0|100.0|80.0|79.0||
|3. (15-64) ve 23. (İlköğretim) ve 13. (6-8 Ay)|2014|39.0|45.0|45.0|49.0|39.0|34.0|37.0|36.0|39.0|37.0|34.0|43.0|
||2015|42.0|49.0|44.0|45.0|33.0|29.0|25.0|29.0|32.0|29.0|32.0|36.0|
||2016|48.0|52.0|47.0|39.0|34.0|37.0|38.0|44.0|40.0|44.0|40.0|48.0|
||2017|57.0|62.0|68.0|50.0|41.0|22.0|24.0|29.0|33.0|32.0|33.0|37.0|
||2018|41.0|38.0|38.0|38.0|31.0|31.0|26.0|30.0|24.0|27.0|41.0|58.0|
||2019|66.0|70.0|68.0|65.0|67.0|58.0|53.0|32.0|30.0|31.0|45.0|55.0|
||2020|55.0|56.0|52.0|56.0|50.0|51.0|59.0|58.0|50.0|42.0|41.0||
|3. (15-64) ve 23. (İlköğretim) ve 14. (9-11 Ay)|2014|11.0|12.0|11.0|13.0|16.0|21.0|17.0|14.0|7.0|12.0|13.0|18.0|
||2015|14.0|11.0|11.0|11.0|16.0|15.0|16.0|15.0|11.0|11.0|10.0|10.0|
||2016|7.0|13.0|17.0|23.0|18.0|15.0|12.0|13.0|13.0|13.0|11.0|9.0|
||2017|12.0|13.0|18.0|22.0|20.0|14.0|6.0|5.0|6.0|10.0|9.0|12.0|
||2018|10.0|13.0|13.0|13.0|11.0|10.0|8.0|6.0|7.0|10.0|12.0|14.0|
||2019|13.0|14.0|13.0|17.0|20.0|20.0|22.0|23.0|26.0|22.0|20.0|13.0|
||2020|16.0|23.0|28.0|20.0|19.0|16.0|15.0|15.0|12.0|15.0|19.0||
|3. (15-64) ve 23. (İlköğretim) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|41.0|36.0|45.0|53.0|47.0|41.0|31.0|42.0|48.0|48.0|41.0|42.0|
||2015|58.0|56.0|55.0|48.0|50.0|50.0|54.0|49.0|52.0|45.0|54.0|43.0|
||2016|48.0|40.0|48.0|47.0|60.0|57.0|55.0|47.0|44.0|48.0|50.0|52.0|
||2017|62.0|55.0|47.0|34.0|34.0|45.0|43.0|43.0|35.0|40.0|36.0|39.0|
||2018|39.0|42.0|40.0|43.0|40.0|40.0|30.0|33.0|35.0|31.0|30.0|42.0|
||2019|55.0|58.0|50.0|52.0|57.0|64.0|70.0|69.0|63.0|57.0|67.0|75.0|
||2020|80.0|70.0|57.0|41.0|40.0|44.0|51.0|48.0|45.0|48.0|47.0||
|3. (15-64) ve 23. (İlköğretim) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|13.0|15.0|12.0|15.0|13.0|12.0|14.0|12.0|13.0|12.0|11.0|9.0|
||2015|5.0|8.0|8.0|12.0|12.0|18.0|18.0|16.0|10.0|5.0|7.0|8.0|
||2016|8.0|4.0|4.0|5.0|9.0|11.0|14.0|11.0|13.0|13.0|19.0|17.0|
||2017|10.0|9.0|8.0|14.0|10.0|9.0|4.0|6.0|7.0|9.0|11.0|9.0|
||2018|10.0|9.0|10.0|10.0|8.0|9.0|10.0|11.0|9.0|8.0|6.0|6.0|
||2019|7.0|12.0|16.0|17.0|14.0|10.0|6.0|8.0|10.0|16.0|18.0|17.0|
||2020|15.0|18.0|16.0|16.0|16.0|18.0|21.0|18.0|17.0|17.0|17.0||
|3. (15-64) ve 23. (İlköğretim) ve 23. (3 Yıl Ve Daha Fazla)|2014|5.0|6.0|6.0|4.0|5.0|4.0|4.0|2.0|2.0|5.0|4.0|4.0|
||2015|2.0|3.0|6.0|7.0|6.0|3.0|2.0|2.0|4.0|3.0|2.0|1.0|
||2016|3.0|4.0|5.0|4.0|6.0|8.0|9.0|10.0|7.0|6.0|2.0|3.0|
||2017|4.0|5.0|6.0|4.0|3.0|0.0|4.0|6.0|10.0|7.0|5.0|2.0|
||2018|2.0|4.0|5.0|7.0|6.0|7.0|5.0|5.0|3.0|4.0|4.0|6.0|
||2019|6.0|4.0|3.0|4.0|4.0|3.0|3.0|5.0|5.0|5.0|5.0|7.0|
||2020|7.0|5.0|5.0|4.0|7.0|8.0|9.0|7.0|6.0|3.0|4.0||
|3. (15-64) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 11. (1-2 Ay)|2014|79.0|85.0|82.0|73.0|70.0|84.0|82.0|87.0|85.0|97.0|94.0|100.0|
||2015|94.0|94.0|91.0|81.0|95.0|111.0|137.0|128.0|122.0|114.0|116.0|127.0|
||2016|127.0|119.0|100.0|117.0|157.0|186.0|185.0|155.0|135.0|142.0|157.0|177.0|
||2017|154.0|149.0|127.0|132.0|164.0|200.0|236.0|200.0|169.0|133.0|132.0|141.0|
||2018|145.0|139.0|118.0|137.0|194.0|234.0|257.0|214.0|207.0|195.0|223.0|237.0|
||2019|227.0|197.0|175.0|177.0|249.0|291.0|345.0|289.0|258.0|214.0|215.0|212.0|
||2020|187.0|200.0|196.0|208.0|191.0|193.0|205.0|179.0|176.0|158.0|173.0||
|3. (15-64) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 12. (3-5 Ay)|2014|60.0|69.0|67.0|41.0|48.0|47.0|50.0|40.0|55.0|57.0|66.0|60.0|
||2015|69.0|70.0|65.0|57.0|44.0|43.0|45.0|54.0|54.0|53.0|55.0|62.0|
||2016|69.0|68.0|69.0|70.0|64.0|69.0|69.0|73.0|69.0|70.0|77.0|88.0|
||2017|108.0|100.0|96.0|80.0|75.0|52.0|54.0|54.0|72.0|73.0|80.0|79.0|
||2018|73.0|81.0|77.0|81.0|67.0|64.0|59.0|80.0|96.0|109.0|104.0|124.0|
||2019|148.0|168.0|167.0|157.0|136.0|112.0|106.0|103.0|105.0|117.0|114.0|138.0|
||2020|145.0|144.0|127.0|113.0|139.0|166.0|163.0|144.0|101.0|101.0|105.0||
|3. (15-64) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 13. (6-8 Ay)|2014|26.0|28.0|27.0|31.0|24.0|20.0|15.0|19.0|22.0|18.0|16.0|23.0|
||2015|27.0|30.0|31.0|34.0|30.0|32.0|30.0|34.0|31.0|30.0|28.0|27.0|
||2016|20.0|25.0|30.0|31.0|25.0|21.0|25.0|25.0|27.0|26.0|28.0|33.0|
||2017|45.0|49.0|50.0|43.0|34.0|26.0|23.0|22.0|26.0|25.0|29.0|29.0|
||2018|40.0|43.0|46.0|37.0|34.0|28.0|24.0|20.0|18.0|13.0|19.0|31.0|
||2019|49.0|56.0|55.0|65.0|58.0|64.0|61.0|62.0|54.0|40.0|41.0|52.0|
||2020|66.0|72.0|66.0|70.0|70.0|75.0|70.0|76.0|78.0|81.0|76.0||
|3. (15-64) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 14. (9-11 Ay)|2014|6.0|9.0|10.0|8.0|4.0|4.0|7.0|10.0|10.0|7.0|5.0|5.0|
||2015|7.0|9.0|9.0|13.0|12.0|13.0|5.0|6.0|6.0|9.0|9.0|10.0|
||2016|8.0|8.0|8.0|6.0|5.0|8.0|12.0|14.0|12.0|9.0|6.0|3.0|
||2017|6.0|9.0|14.0|14.0|12.0|11.0|12.0|14.0|13.0|15.0|10.0|12.0|
||2018|14.0|15.0|21.0|19.0|20.0|14.0|13.0|11.0|11.0|9.0|12.0|8.0|
||2019|9.0|14.0|17.0|25.0|23.0|21.0|18.0|24.0|25.0|19.0|15.0|12.0|
||2020|15.0|11.0|19.0|25.0|31.0|36.0|32.0|27.0|14.0|18.0|28.0||
|3. (15-64) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|24.0|20.0|18.0|24.0|37.0|41.0|41.0|37.0|41.0|38.0|31.0|31.0|
||2015|39.0|40.0|44.0|38.0|38.0|39.0|47.0|48.0|49.0|35.0|38.0|40.0|
||2016|44.0|43.0|32.0|34.0|30.0|32.0|34.0|36.0|48.0|49.0|46.0|48.0|
||2017|53.0|56.0|48.0|47.0|46.0|43.0|35.0|40.0|47.0|56.0|53.0|55.0|
||2018|52.0|51.0|46.0|50.0|49.0|47.0|51.0|49.0|51.0|50.0|54.0|63.0|
||2019|63.0|68.0|72.0|77.0|81.0|66.0|74.0|71.0|78.0|69.0|75.0|74.0|
||2020|77.0|86.0|86.0|80.0|67.0|77.0|84.0|83.0|78.0|75.0|76.0||
|3. (15-64) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|7.0|7.0|9.0|8.0|9.0|8.0|6.0|7.0|6.0|10.0|12.0|13.0|
||2015|12.0|6.0|4.0|7.0|10.0|14.0|15.0|13.0|11.0|7.0|10.0|12.0|
||2016|12.0|10.0|7.0|6.0|4.0|5.0|8.0|11.0|9.0|5.0|5.0|8.0|
||2017|17.0|20.0|19.0|11.0|7.0|7.0|10.0|8.0|13.0|11.0|15.0|14.0|
||2018|13.0|10.0|5.0|6.0|11.0|12.0|21.0|21.0|25.0|18.0|18.0|16.0|
||2019|19.0|18.0|18.0|18.0|15.0|20.0|25.0|27.0|28.0|26.0|26.0|22.0|
||2020|19.0|17.0|18.0|14.0|19.0|18.0|24.0|25.0|26.0|26.0|25.0||
|3. (15-64) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 23. (3 Yıl Ve Daha Fazla)|2014|7.0|5.0|3.0|5.0|4.0|3.0|1.0|1.0|5.0|6.0|6.0|2.0|
||2015|5.0|5.0|6.0|5.0|5.0|6.0|4.0|3.0|4.0|3.0|3.0|1.0|
||2016|1.0|4.0|4.0|6.0|5.0|5.0|4.0|5.0|4.0|9.0|7.0|10.0|
||2017|6.0|5.0|6.0|7.0|7.0|3.0|3.0|4.0|6.0|6.0|5.0|5.0|
||2018|5.0|6.0|5.0|6.0|7.0|8.0|7.0|7.0|7.0|8.0|9.0|14.0|
||2019|12.0|11.0|5.0|8.0|8.0|10.0|13.0|16.0|14.0|14.0|14.0|16.0|
||2020|11.0|6.0|5.0|4.0|4.0|3.0|7.0|9.0|9.0|9.0|12.0||
|3. (15-64) ve 31. (Genel Lise) ve 11. (1-2 Ay)|2014|115.0|111.0|107.0|116.0|151.0|169.0|190.0|165.0|145.0|129.0|130.0|138.0|
||2015|158.0|159.0|142.0|114.0|130.0|165.0|178.0|165.0|151.0|160.0|152.0|148.0|
||2016|142.0|140.0|128.0|124.0|151.0|171.0|175.0|165.0|155.0|160.0|161.0|162.0|
||2017|161.0|156.0|158.0|157.0|178.0|194.0|199.0|178.0|165.0|142.0|150.0|163.0|
||2018|173.0|158.0|136.0|122.0|155.0|180.0|203.0|190.0|185.0|178.0|176.0|179.0|
||2019|187.0|182.0|154.0|153.0|188.0|262.0|276.0|266.0|231.0|206.0|181.0|168.0|
||2020|179.0|178.0|163.0|155.0|153.0|169.0|168.0|162.0|154.0|160.0|163.0||
|3. (15-64) ve 31. (Genel Lise) ve 12. (3-5 Ay)|2014|98.0|97.0|91.0|60.0|61.0|61.0|72.0|72.0|81.0|85.0|94.0|91.0|
||2015|99.0|92.0|83.0|61.0|58.0|61.0|67.0|88.0|86.0|96.0|90.0|113.0|
||2016|124.0|119.0|96.0|76.0|76.0|84.0|78.0|98.0|105.0|119.0|113.0|116.0|
||2017|127.0|131.0|118.0|89.0|71.0|70.0|82.0|84.0|99.0|92.0|98.0|96.0|
||2018|106.0|110.0|106.0|102.0|84.0|77.0|68.0|78.0|85.0|91.0|98.0|118.0|
||2019|144.0|153.0|162.0|150.0|136.0|106.0|106.0|106.0|116.0|130.0|139.0|153.0|
||2020|156.0|140.0|118.0|107.0|127.0|142.0|160.0|151.0|131.0|110.0|99.0||
|3. (15-64) ve 31. (Genel Lise) ve 13. (6-8 Ay)|2014|35.0|32.0|42.0|44.0|52.0|42.0|36.0|27.0|23.0|20.0|28.0|34.0|
||2015|43.0|48.0|51.0|61.0|51.0|45.0|34.0|30.0|27.0|27.0|33.0|43.0|
||2016|49.0|59.0|58.0|58.0|54.0|48.0|50.0|49.0|45.0|33.0|33.0|39.0|
||2017|53.0|49.0|56.0|58.0|57.0|50.0|32.0|32.0|29.0|42.0|48.0|49.0|
||2018|52.0|56.0|63.0|56.0|51.0|48.0|45.0|38.0|33.0|32.0|42.0|51.0|
||2019|63.0|63.0|73.0|68.0|76.0|65.0|62.0|49.0|46.0|45.0|49.0|48.0|
||2020|57.0|60.0|64.0|63.0|57.0|71.0|65.0|78.0|67.0|81.0|77.0||
|3. (15-64) ve 31. (Genel Lise) ve 14. (9-11 Ay)|2014|9.0|11.0|10.0|15.0|11.0|13.0|12.0|11.0|10.0|10.0|10.0|10.0|
||2015|11.0|13.0|14.0|14.0|14.0|15.0|15.0|15.0|11.0|12.0|11.0|14.0|
||2016|10.0|9.0|6.0|8.0|13.0|14.0|21.0|20.0|27.0|26.0|25.0|21.0|
||2017|14.0|14.0|13.0|20.0|20.0|17.0|10.0|6.0|5.0|12.0|18.0|20.0|
||2018|16.0|11.0|10.0|17.0|19.0|27.0|22.0|23.0|24.0|24.0|23.0|20.0|
||2019|23.0|24.0|21.0|19.0|17.0|20.0|17.0|22.0|22.0|24.0|22.0|17.0|
||2020|17.0|18.0|20.0|24.0|26.0|29.0|24.0|25.0|24.0|26.0|28.0||
|3. (15-64) ve 31. (Genel Lise) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|54.0|65.0|68.0|63.0|54.0|54.0|53.0|55.0|63.0|68.0|66.0|59.0|
||2015|56.0|60.0|55.0|55.0|52.0|53.0|50.0|53.0|60.0|73.0|75.0|67.0|
||2016|59.0|54.0|63.0|63.0|69.0|60.0|60.0|62.0|70.0|71.0|70.0|65.0|
||2017|72.0|76.0|80.0|76.0|69.0|76.0|76.0|81.0|73.0|63.0|56.0|55.0|
||2018|69.0|67.0|75.0|65.0|73.0|73.0|70.0|65.0|59.0|66.0|72.0|90.0|
||2019|93.0|92.0|86.0|83.0|84.0|87.0|89.0|88.0|79.0|84.0|88.0|92.0|
||2020|93.0|94.0|85.0|81.0|75.0|80.0|81.0|86.0|91.0|99.0|99.0||
|3. (15-64) ve 31. (Genel Lise) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|22.0|20.0|23.0|19.0|19.0|20.0|21.0|21.0|18.0|21.0|15.0|13.0|
||2015|15.0|18.0|22.0|17.0|15.0|14.0|20.0|22.0|22.0|17.0|16.0|18.0|
||2016|19.0|22.0|18.0|21.0|18.0|20.0|15.0|18.0|16.0|22.0|19.0|19.0|
||2017|21.0|25.0|33.0|24.0|21.0|16.0|14.0|13.0|10.0|15.0|19.0|23.0|
||2018|27.0|23.0|29.0|24.0|23.0|19.0|20.0|21.0|25.0|24.0|25.0|17.0|
||2019|19.0|21.0|25.0|21.0|22.0|24.0|30.0|30.0|31.0|31.0|27.0|22.0|
||2020|28.0|30.0|27.0|15.0|11.0|17.0|19.0|28.0|27.0|34.0|36.0||
|3. (15-64) ve 31. (Genel Lise) ve 23. (3 Yıl Ve Daha Fazla)|2014|9.0|10.0|11.0|13.0|10.0|8.0|7.0|8.0|6.0|5.0|4.0|4.0|
||2015|7.0|9.0|10.0|14.0|14.0|12.0|7.0|6.0|7.0|8.0|9.0|12.0|
||2016|10.0|11.0|9.0|9.0|12.0|12.0|13.0|9.0|9.0|9.0|8.0|9.0|
||2017|7.0|9.0|7.0|7.0|6.0|7.0|10.0|13.0|14.0|12.0|10.0|9.0|
||2018|6.0|5.0|5.0|7.0|10.0|12.0|14.0|12.0|11.0|11.0|15.0|17.0|
||2019|18.0|17.0|16.0|13.0|11.0|13.0|13.0|19.0|13.0|17.0|14.0|17.0|
||2020|16.0|17.0|13.0|10.0|8.0|12.0|16.0|18.0|18.0|16.0|14.0||
|3. (15-64) ve 32. (Lise Dengi Mesleki Okul) ve 11. (1-2 Ay)|2014|104.0|112.0|106.0|100.0|102.0|129.0|166.0|161.0|147.0|129.0|134.0|131.0|
||2015|125.0|121.0|114.0|102.0|117.0|134.0|138.0|138.0|131.0|138.0|123.0|128.0|
||2016|122.0|131.0|118.0|118.0|126.0|147.0|159.0|171.0|191.0|191.0|182.0|168.0|
||2017|176.0|168.0|145.0|131.0|142.0|171.0|186.0|188.0|179.0|164.0|156.0|141.0|
||2018|140.0|122.0|115.0|124.0|149.0|181.0|209.0|235.0|240.0|218.0|205.0|207.0|
||2019|221.0|218.0|186.0|168.0|178.0|240.0|282.0|289.0|250.0|230.0|211.0|195.0|
||2020|182.0|188.0|192.0|175.0|162.0|160.0|156.0|172.0|162.0|170.0|164.0||
|3. (15-64) ve 32. (Lise Dengi Mesleki Okul) ve 12. (3-5 Ay)|2014|63.0|68.0|65.0|64.0|63.0|54.0|56.0|66.0|79.0|90.0|88.0|95.0|
||2015|95.0|90.0|79.0|63.0|58.0|62.0|60.0|66.0|68.0|82.0|84.0|82.0|
||2016|85.0|87.0|91.0|79.0|68.0|70.0|79.0|94.0|99.0|116.0|141.0|147.0|
||2017|147.0|116.0|110.0|89.0|85.0|63.0|64.0|76.0|106.0|105.0|103.0|101.0|
||2018|108.0|101.0|88.0|74.0|65.0|55.0|55.0|65.0|90.0|107.0|128.0|131.0|
||2019|147.0|149.0|134.0|123.0|101.0|106.0|107.0|116.0|122.0|133.0|138.0|132.0|
||2020|127.0|113.0|105.0|97.0|111.0|130.0|136.0|134.0|117.0|113.0|100.0||
|3. (15-64) ve 32. (Lise Dengi Mesleki Okul) ve 13. (6-8 Ay)|2014|41.0|48.0|40.0|35.0|29.0|27.0|29.0|27.0|30.0|26.0|28.0|30.0|
||2015|35.0|46.0|42.0|44.0|29.0|27.0|26.0|31.0|34.0|25.0|21.0|28.0|
||2016|38.0|43.0|42.0|46.0|39.0|36.0|32.0|39.0|39.0|39.0|42.0|49.0|
||2017|64.0|67.0|72.0|66.0|57.0|47.0|36.0|39.0|36.0|33.0|30.0|38.0|
||2018|43.0|45.0|46.0|42.0|38.0|33.0|37.0|36.0|30.0|24.0|34.0|48.0|
||2019|66.0|70.0|72.0|63.0|60.0|51.0|39.0|34.0|36.0|50.0|60.0|71.0|
||2020|71.0|64.0|55.0|62.0|61.0|66.0|64.0|72.0|79.0|79.0|71.0||
|3. (15-64) ve 32. (Lise Dengi Mesleki Okul) ve 14. (9-11 Ay)|2014|9.0|5.0|5.0|7.0|9.0|11.0|6.0|7.0|8.0|16.0|13.0|12.0|
||2015|7.0|10.0|16.0|18.0|20.0|13.0|13.0|10.0|10.0|8.0|8.0|8.0|
||2016|8.0|8.0|9.0|9.0|11.0|10.0|9.0|8.0|8.0|14.0|14.0|14.0|
||2017|14.0|12.0|18.0|23.0|28.0|22.0|12.0|8.0|9.0|9.0|8.0|6.0|
||2018|8.0|12.0|19.0|21.0|21.0|18.0|12.0|13.0|10.0|11.0|7.0|13.0|
||2019|16.0|22.0|21.0|23.0|30.0|29.0|23.0|16.0|22.0|30.0|26.0|19.0|
||2020|12.0|14.0|15.0|20.0|23.0|27.0|29.0|25.0|21.0|21.0|33.0||
|3. (15-64) ve 32. (Lise Dengi Mesleki Okul) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|45.0|43.0|43.0|39.0|44.0|46.0|44.0|41.0|44.0|48.0|47.0|44.0|
||2015|42.0|48.0|52.0|51.0|48.0|44.0|37.0|37.0|47.0|50.0|49.0|44.0|
||2016|50.0|50.0|45.0|47.0|41.0|39.0|36.0|40.0|51.0|59.0|69.0|64.0|
||2017|58.0|54.0|52.0|56.0|57.0|56.0|59.0|64.0|70.0|63.0|56.0|65.0|
||2018|71.0|71.0|53.0|53.0|49.0|59.0|50.0|52.0|53.0|66.0|69.0|68.0|
||2019|73.0|77.0|89.0|83.0|80.0|71.0|78.0|81.0|88.0|91.0|93.0|87.0|
||2020|77.0|82.0|72.0|70.0|67.0|84.0|88.0|100.0|97.0|102.0|96.0||
|3. (15-64) ve 32. (Lise Dengi Mesleki Okul) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|20.0|18.0|14.0|9.0|4.0|3.0|7.0|10.0|11.0|12.0|13.0|13.0|
||2015|12.0|10.0|10.0|17.0|19.0|19.0|14.0|14.0|15.0|13.0|14.0|13.0|
||2016|13.0|12.0|11.0|12.0|13.0|13.0|15.0|16.0|20.0|18.0|14.0|14.0|
||2017|13.0|17.0|15.0|16.0|15.0|14.0|15.0|14.0|17.0|19.0|19.0|15.0|
||2018|11.0|9.0|9.0|10.0|14.0|15.0|16.0|14.0|18.0|19.0|17.0|17.0|
||2019|18.0|22.0|23.0|21.0|20.0|19.0|22.0|25.0|26.0|24.0|26.0|26.0|
||2020|29.0|31.0|24.0|20.0|17.0|20.0|22.0|22.0|28.0|28.0|27.0||
|3. (15-64) ve 32. (Lise Dengi Mesleki Okul) ve 23. (3 Yıl Ve Daha Fazla)|2014|8.0|8.0|9.0|7.0|6.0|6.0|5.0|4.0|3.0|7.0|7.0|8.0|
||2015|5.0|5.0|6.0|4.0|3.0|2.0|3.0|5.0|8.0|7.0|5.0|2.0|
||2016|3.0|3.0|3.0|3.0|3.0|3.0|5.0|6.0|7.0|6.0|6.0|5.0|
||2017|4.0|4.0|3.0|4.0|5.0|5.0|5.0|4.0|7.0|5.0|6.0|4.0|
||2018|5.0|5.0|8.0|8.0|6.0|4.0|4.0|6.0|8.0|9.0|9.0|6.0|
||2019|5.0|5.0|5.0|10.0|9.0|14.0|10.0|10.0|6.0|8.0|13.0|15.0|
||2020|18.0|18.0|15.0|11.0|13.0|13.0|15.0|11.0|13.0|12.0|13.0||
|3. (15-64) ve 4. (Yüksek Öğretim) ve 11. (1-2 Ay)|2014|131.0|139.0|140.0|153.0|157.0|198.0|261.0|289.0|259.0|210.0|194.0|185.0|
||2015|174.0|167.0|167.0|153.0|187.0|231.0|292.0|293.0|286.0|231.0|203.0|185.0|
||2016|199.0|188.0|180.0|162.0|198.0|280.0|375.0|407.0|366.0|296.0|258.0|243.0|
||2017|247.0|228.0|202.0|179.0|237.0|334.0|438.0|419.0|363.0|265.0|240.0|227.0|
||2018|221.0|226.0|207.0|210.0|227.0|294.0|406.0|434.0|399.0|318.0|288.0|279.0|
||2019|277.0|272.0|258.0|225.0|260.0|319.0|422.0|432.0|397.0|325.0|275.0|265.0|
||2020|245.0|239.0|217.0|204.0|202.0|251.0|307.0|345.0|344.0|305.0|275.0||
